PrimeA, PrimeB
128969, 128971
129221, 129223
130259, 130261
127217, 127219
130631, 130633
127679, 127681
129641, 129643
130841, 130843
131009, 131011
133541, 133543
131639, 131641
131477, 131479
131891, 131893
128519, 128521
133709, 133711
131939, 131941
130649, 130651
128939, 128941
134087, 134089
132437, 132439
128981, 128983
131111, 131113
134339, 134341
132857, 132859
131447, 131449
132527, 132529
134591, 134593
132947, 132949
133277, 133279
133319, 133321
129401, 129403
132329, 132331
129527, 129529
135347, 135349
135389, 135391
130199, 130201
132707, 132709
132749, 132751
135431, 135433
130367, 130369
130409, 130411
134369, 134371
130619, 130621
134291, 134293
135599, 135601
133631, 133633
134837, 134839
135977, 135979
134921, 134923
131249, 131251
135209, 135211
136397, 136399
135461, 135463
136481, 136483
136649, 136651
135467, 135469
134681, 134683
136691, 136693
131711, 131713
136859, 136861
131837, 131839
135017, 135019
132047, 132049
135719, 135721
135647, 135649
132761, 132763
136067, 136069
137867, 137869
133349, 133351
137909, 137911
138077, 138079
133811, 133813
136601, 136603
133979, 133981
136811, 136813
138371, 138373
134399, 134401
136949, 136951
136991, 136993
137117, 137119
138401, 138403
138569, 138571
139589, 139591
135281, 135283
138239, 138241
138449, 138451
139199, 139201
139967, 139969
139367, 139369
135911, 135913
139121, 139123
139661, 139663
139457, 139459
138797, 138799
136709, 136711
140681, 140683
136751, 136753
140891, 140893
139301, 139303
137087, 137089
140417, 140419
140549, 140551
140627, 140629
137339, 137341
140759, 140761
140837, 140839
141179, 141181
141221, 141223
142697, 142699
141509, 141511
140729, 140731
141767, 141769
138179, 138181
141677, 141679
141851, 141853
143831, 143833
144167, 144169
142097, 142099
145007, 145009
142607, 142609
140069, 140071
143111, 143113
142979, 142981
145511, 145513
145679, 145681
145721, 145723
142157, 142159
145931, 145933
146057, 146059
143567, 143569
143651, 143653
146519, 146521
142787, 142789
142871, 142873
140867, 140869
144071, 144073
144161, 144163
144407, 144409
144539, 144541
143501, 143503
141497, 141499
141707, 141709
143879, 143881
141959, 141961
148199, 148201
145547, 145549
142589, 142591
142757, 142759
145757, 145759
144887, 144889
145967, 145969
146009, 146011
143261, 143263
145601, 145603
146297, 146299
146381, 146383
146681, 146683
147137, 147139
146891, 146893
146021, 146023
149249, 149251
149417, 149419
147227, 147229
149627, 149629
149711, 149713
149837, 149839
144479, 144481
150089, 150091
148061, 148063
150299, 150301
146987, 146989
147029, 147031
148151, 148153
148691, 148693
147449, 147451
148859, 148861
148781, 148783
149111, 149113
149159, 149161
151769, 151771
147209, 147211
149489, 149491
149531, 149533
151937, 151939
148667, 148669
150209, 150211
147671, 147673
149909, 149911
150377, 150379
148301, 148303
150587, 150589
152441, 152443
148469, 148471
152819, 152821
150881, 150883
150959, 150961
149969, 149971
151169, 151171
151007, 151009
148721, 148723
150221, 150223
151049, 151051
153071, 153073
151337, 151339
151379, 151381
148931, 148933
153407, 153409
149057, 149059
150767, 150769
149099, 149101
153911, 153913
151967, 151969
149519, 149521
149561, 149563
154079, 154081
149729, 149731
151607, 151609
152597, 152599
152639, 152641
151847, 151849
151901, 151903
152027, 152029
154667, 154669
150989, 150991
151241, 151243
152531, 152533
155381, 155383
153269, 153271
152897, 152899
152039, 152041
153521, 153523
152081, 152083
152939, 152941
155717, 155719
152417, 152419
152459, 152461
152837, 152839
154211, 154213
153947, 153949
154277, 154279
154157, 154159
154571, 154573
154589, 154591
153509, 153511
154619, 154621
155201, 155203
157229, 157231
153887, 153889
154787, 154789
157271, 157273
155537, 155539
154871, 154873
155579, 155581
155849, 155851
155891, 155893
155081, 155083
154181, 154183
156059, 156061
156419, 156421
156227, 156229
156797, 156799
157049, 157051
156257, 156259
157217, 157219
156899, 156901
156941, 156943
157427, 157429
156677, 156679
157637, 157639
157277, 157279
159539, 159541
157931, 157933
155861, 155863
157349, 157351
159791, 159793
157559, 157561
157769, 157771
158141, 158143
158231, 158233
160967, 160969
158357, 158359
156491, 156493
158747, 158749
159191, 159193
159167, 159169
159569, 159571
159737, 159739
161639, 161641
159629, 159631
159671, 159673
159869, 159871
160031, 160033
157667, 157669
160079, 160081
160091, 160093
160709, 160711
160751, 160753
160877, 160879
160619, 160621
161339, 161341
160637, 160639
161969, 161971
161459, 161461
158759, 158761
162389, 162391
161879, 161881
161561, 161563
161921, 161923
161729, 161731
161771, 161773
159347, 159349
163019, 163021
163061, 163063
163481, 163483
162971, 162973
163859, 163861
163991, 163993
162527, 162529
159977, 159979
163307, 163309
162821, 162823
164621, 164623
163979, 163981
160481, 160483
164999, 165001
164447, 164449
164147, 164149
163409, 163411
160649, 160651
164231, 164233
165587, 165589
164249, 164251
166301, 166303
161741, 161743
165701, 165703
162287, 162289
162749, 162751
164837, 164839
166667, 166669
165047, 165049
166847, 166849
163127, 163129
163169, 163171
167267, 167269
167309, 167311
167339, 167341
165551, 165553
165707, 165709
165719, 165721
164429, 164431
166349, 166351
168599, 168601
166601, 166603
166841, 166843
167021, 167023
165311, 165313
169691, 169693
169241, 169243
167441, 167443
167777, 167779
167861, 167863
171077, 171079
168449, 168451
171161, 171163
166739, 166741
171539, 171541
166781, 166783
168899, 168901
169751, 169753
169067, 169069
167117, 167119
171047, 171049
167621, 167623
172169, 172171
169319, 169321
171467, 171469
170759, 170761
172421, 172423
171761, 171763
168629, 168631
169007, 169009
